isbn,title,author,number_of_pages,publication_date,language_code,avg_rating
097669400X,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,558,7/28/2005,eng,3.84
689840926,Hatchet (Brian's Saga  #1),Gary Paulsen,208,4/1/2000,eng,3.72
1557344493,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,48,8/28/1994,eng,4
385326505,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,144,1/23/2001,eng,3.88
1575606240,Molly Hatchet - 5 of the Best,Molly Hatchet,56,6/10/2003,eng,4.33
1595580271,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,228,11/1/2005,en-US,3.45
1595962808,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,304,11/1/2005,eng,3.76
670059676,Changeling (Changeling  #1),Delia Sherman,256,8/17/2006,eng,3.6
141312629,The Changeling Sea,Patricia A. McKillip,137,4/14/2003,eng,4.06
595321801,The Changeling,Zilpha Keatley Snyder,228,6/8/2004,eng,4.17
1590301943,The Changeling,Kate Horsley,339,4/12/2005,eng,3.55
449146979,The Changeling (Daughters of England  #15),Philippa Carr,369,8/28/1990,eng,3.98
61159174,The Known World,Edward P. Jones,388,8/29/2006,eng,3.83
006076273X,The Known World,Edward P. Jones/Kevin R. Free,14,6/15/2004,en-US,3.83
60749911,The Known World,Edward P. Jones,576,6/15/2004,eng,3.83
273704745,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,334,5/15/2006,eng,3.83
1932386106,Artesia: Adventures in the Known World,Mark Smylie,352,12/14/2005,eng,4.13
374517193,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,416,6/1/1982,eng,4.42
374280398,Uncommon Carriers,John McPhee,248,5/16/2006,en-US,3.95
374519749,Heirs of General Practice,John McPhee,128,4/1/1986,eng,4.17
374522596,The Control of Nature,John McPhee,288,9/1/1990,en-US,4.24
374518734,Annals of the Former World,John McPhee,720,1/6/1999,eng,4.34
374522871,Coming Into the Country,John McPhee,448,4/1/1991,eng,4.22
374519323,La Place de la Concorde Suisse,John McPhee,160,4/1/1994,fre,3.92
374516006,Giving Good Weight,John McPhee,288,4/1/1994,eng,4.23
374520658,Rising from the Plains,John McPhee,208,11/1/1987,eng,4.23
822205106,The Heidi Chronicles,Wendy Wasserstein,81,3/1/2002,eng,3.75
679734996,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,249,7/2/1991,eng,3.84
1596670231,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,138,3/29/2006,eng,3.94
1581807740,Simply Beautiful Beaded Jewelry,Heidi Boyd,128,3/14/2006,en-US,3.77
800793617,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,192,9/1/2003,eng,4.46
871202867,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,108,1/28/1997,en-US,3.68
753454947,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,352,11/15/2002,eng,3.99
871209993,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,192,11/15/2004,eng,3.25
1852402873,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,192,4/28/2003,eng,4.46
761129588,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,832,10/16/2003,eng,3.89
972016414,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,123,5/10/2004,eng,3.82
1581805632,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,128,8/19/2004,en-US,3.78
441294677,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,423,6/15/1987,eng,3.84
441102670,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,436,7/1/1987,eng,3.91
441172695,Dune Messiah (Dune Chronicles #2),Frank Herbert,331,7/15/1987,eng,3.88
765306476,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,592,7/1/2004,en-US,4.01
399128980,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,480,4/16/1984,eng,3.86
765353709,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,426,8/29/2006,eng,3.88
441328008,Heretics of Dune (Dune Chronicles #5),Frank Herbert,471,8/15/1987,eng,3.86
618212906,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,192,6/12/2002,eng,4.59
034541005X,The Power of One (The Power of One  #1),Bryce Courtenay,544,9/29/1996,eng,4.35
385732546,The Power of One (The Power of One  #1),Bryce Courtenay,291,9/13/2005,eng,4.35
785260056,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,256,11/1/2004,en-US,4.28
471780936,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,205,5/19/2006,eng,3.34
325001537,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,240,2/7/2000,eng,3.67
006076287X,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,336,5/3/2005,eng,3.48
470045299,eBay for Dummies,Marsha Collier,386,10/30/2006,eng,3.5
72262788,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,260,1/24/2006,eng,3.62
764569244,Starting an eBay Business for Dummies,Marsha Collier,384,9/17/2004,eng,3.55
471933821,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,260,6/6/2006,eng,4.27
764559915,ebay Timesaving Techniques for Dummies,Marsha Collier,391,5/31/2004,en-US,3.39
764584383,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,864,4/25/2005,en-US,3.89
596523696,Ruby Cookbook,Lucas Carlson/Leonard Richardson,873,7/29/2006,eng,3.84
806523492,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,240,5/3/2005,eng,4.12
806525363,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,206,5/3/2005,eng,4.08
596527314,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,514,1/1/2007,eng,3.48
143035002,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,838,5/31/2004,eng,4.05
451528611,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,960,11/5/2002,eng,4.05
140449175,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,837,1/30/2003,eng,4.05
822001837,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,80,11/26/1965,eng,3.85
1593080271,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,803,7/1/2003,eng,4.05
486437965,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,752,11/23/2004,eng,4.05
1593081774,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,803,8/26/2004,eng,4.05
778322270,Dinner with Anna Karenina,Gloria Goldreich,360,1/28/2006,eng,2.99
521313252,Tolstoy: Anna Karenina,Anthony Thorlby,128,11/26/1987,eng,4.19
140183957,Untouchable,Mulk Raj Anand/E.M. Forster,160,7/3/1990,eng,3.71
679767479,The Untouchable,John Banville,367,6/30/1998,eng,3.95
1568491980,The Untouchables,Eliot Ness/Oscar Fraley,256,2/1/1996,eng,3.89
743270797,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,320,9/27/2005,en-US,3.82
932863051,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,100,1/28/1995,eng,4.2
742508803,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,224,12/20/2000,eng,3.65
205358624,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,216,9/22/2003,eng,3.4
1557344035,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,48,9/28/1991,eng,4
380720442,Wrinkles in Time,George Smoot/Keay Davidson,360,10/1/1994,eng,4.01
821925326,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,250,5/1/2002,eng,4
043927169X,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,32,1/1/2002,eng,3.6
606105263,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,205,6/1/1984,spa,4
751506435,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,367,6/1/1994,eng,4.12
006078671X,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,352,1/3/2006,eng,4.11
743499344,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,320,11/1/2005,en-US,3.94
765313405,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,331,3/7/2006,eng,3.6
1400032490,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,244,8/10/2004,eng,3.9
1400032482,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,215,3/8/2005,eng,4.05
1400032466,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,191,8/10/2004,eng,3.94
679732527,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,144,10/3/1990,eng,3.89
312424442,I am Charlotte Simmons,Tom Wolfe,738,8/30/2005,eng,3.42
806930772,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,48,10/1/2001,eng,3.91
140366601,The Puffin Book of Nonsense Verse,Quentin Blake,287,10/3/1996,eng,4.02
811201120,Henry Miller on Writing,Henry Miller/Thomas H. Moore,217,2/1/1964,eng,4.22
080213016X,Quiet Days in Clichy,Henry Miller,154,1/13/1994,eng,3.69
802131786,Tropic of Cancer,Henry Miller/Jiří Níl,318,1/6/1994,eng,3.68
802151825,Tropic of Capricorn,Henry Miller,348,1/13/1994,eng,3.78
802151787,Nexus (The Rosy Crucifixion  #3),Henry Miller,316,1/13/1994,eng,4.1
802151809,Sexus (The Rosy Crucifixion  #1),Henry Miller,506,1/12/1994,eng,3.98
811201066,The Air-Conditioned Nightmare,Henry Miller,292,1/17/1970,eng,3.83
141439637,The Portrait of a Lady,Henry James/Patricia Crick,797,9/30/2003,eng,3.78
1593080964,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,635,1/16/2004,eng,3.78
1571290532,Writing,Marguerite Duras,91,5/6/1999,eng,3.75
1565842219,The War,Marguerite Duras/Barbara Bray,192,8/1/1994,eng,3.85
394743040,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,181,3/12/1986,en-US,3.66
1851681825,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,178,7/1/1999,eng,3.68
156656249X,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,464,4/1/1998,eng,4.21
014019553X,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,102,1/1/1998,eng,4.19
394431243,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,216,2/21/1995,eng,3.98
806501901,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,132,3/3/2003,eng,3.92
067943920X,Sand and Foam,Kahlil Gibran/جبران خليل جبران,100,6/14/2011,eng,4.08
753453800,Treasure Island,Robert Louis Stevenson,311,9/15/2001,eng,3.83
1402714572,Treasure Island,Robert Louis Stevenson/Scott McKowen,213,10/1/2004,en-US,3.83
1416500294,Treasure Island,Robert Louis Stevenson,245,6/1/2005,eng,3.83
689854684,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,64,7/1/2003,eng,3.83
517221144,Treasure Island,Robert Louis Stevenson/Milo Winter,272,9/3/2002,en-US,3.83
1577658051,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,232,1/31/2006,eng,4.05
933121180,100 Years of Lynchings,Ralph Ginzburg,270,11/22/1996,eng,4.61
785950109,Cien años de soledad,Gabriel García Márquez,448,1/1/1990,spa,4.07
394800842,On Beyond Zebra!,Dr. Seuss,64,9/12/1955,eng,4.04
821778250,The Wedding Clause,Debbie Raleigh,256,6/7/2005,eng,3.6
60733039,The Zebra Wall,Kevin Henkes,147,2/15/2005,eng,3.44
8432216062,El perfume: Historia de un asesino,Patrick Süskind,239,6/1/2002,spa,4.02
345413997,The Door Into Summer,Robert A. Heinlein,304,6/17/1997,eng,4.01
441788386,Stranger in a Strange Land,Robert A. Heinlein,528,10/1/1991,eng,3.92
441748600,To Sail Beyond the Sunset,Robert A. Heinlein,434,6/1/1988,en-US,3.87
345316509,Job: A Comedy of Justice,Robert A. Heinlein,439,10/12/1985,en-US,3.78
765314932,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,256,8/8/2006,eng,3.97
671742515,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,307,2/15/1991,en-US,4.06
345455290,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,298,4/26/2005,eng,3.93
345476514,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,368,12/27/2005,eng,4.14
345368436,Douglas Adams's Starship Titanic,Terry Jones,256,10/27/1998,eng,3.6
1417622857,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,336,7/1/2003,eng,3.93
573650969,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,72,1/12/2011,eng,4.13
691122946,On Bullshit,Harry G. Frankfurt,67,1/30/2005,eng,3.57
393329402,Another Bullshit Night in Suck City,Nick Flynn,347,9/12/2005,eng,3.78
671867423,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,317,6/12/1993,en-US,4.14
395883970,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,32,2/2/1998,eng,4.53
684848155,Underworld,Don DeLillo,827,7/9/1998,eng,3.92
140156046,Libra,Don DeLillo,480,5/1/1991,eng,3.99
140119485,Americana,Don DeLillo,377,7/6/1989,eng,3.43
679722947,Running Dog,Don DeLillo,256,7/17/1989,eng,3.43
743244257,Cosmopolis,Don DeLillo,224,4/6/2004,eng,3.22
140179178,Great Jones Street,Don DeLillo,272,1/1/1994,eng,3.48
679722955,The Names,Don DeLillo,339,7/17/1989,eng,3.64
159420120X,Against the Day,Thomas Pynchon,1085,11/21/2006,eng,4.13
60930217,V.,Thomas Pynchon,547,7/5/2005,eng,3.96
60931671,The Crying of Lot 49,Thomas Pynchon,152,4/1/1999,eng,3.69
140283382,Gravity's Rainbow,Thomas Pynchon,784,1/1/2000,eng,4.01
312423209,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,773,1/3/2004,eng,4.07
141180633,Vineland,Thomas Pynchon,385,9/1/1997,en-US,3.69
143039946,Gravity's Rainbow,Thomas Pynchon,776,10/31/2006,eng,4.01
316724432,Slow Learner: Early Stories,Thomas Pynchon,193,4/30/1985,eng,3.5
140189300,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,352,8/29/1996,eng,3.8
140004314X,The Year of Magical Thinking,Joan Didion,227,10/4/2005,en-US,3.89
374522219,The White Album,Joan Didion,222,10/1/1990,eng,4.17
679754865,A Book of Common Prayer,Joan Didion,272,4/11/1995,eng,3.8
679752862,Where I Was From,Joan Didion,240,9/14/2004,eng,3.86
374521727,Slouching Towards Bethlehem,Joan Didion,238,10/1/1990,eng,4.21
679754857,Democracy,Joan Didion,234,4/25/1995,en-US,3.81
307264874,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,1122,10/17/2006,eng,4.5
374529949,Play It As It Lays,Joan Didion/David Thomson,231,11/15/2005,eng,3.87
143039830,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,308,3/28/2006,eng,3.89
140097317,City of Glass (The New York Trilogy  #1),Paul Auster,203,4/7/1987,eng,3.79
014009735X,Ghosts (The New York Trilogy  #2),Paul Auster,96,7/7/1987,eng,3.64
940650762,The Locked Room (The New York Trilogy  #3),Paul Auster,179,11/1/1986,eng,3.89
963188925,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,256,1/1/1995,eng,3.89
312426232,The Brooklyn Follies,Paul Auster,306,10/17/2006,eng,3.84
140115854,Moon Palace,Paul Auster,320,4/1/1990,eng,3.94
140154078,The Music of Chance,Paul Auster,217,12/1/1991,en-US,3.9
805081453,Travels in the Scriptorium,Paul Auster,145,1/23/2007,eng,3.23
140178139,Leviathan,Paul Auster,275,9/1/1993,eng,3.96
811214982,The Red Notebook: True Stories,Paul Auster,104,6/17/2002,eng,3.77
2742741461,Timbuktu / Leviathan / Moon Palace,Paul Auster,1075,11/7/2002,fre,4.38
143036556,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,608,12/27/2005,eng,3.93
446579785,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,211,2/1/2006,en-US,3.4
052138673X,Collapse of Complex Societies,Joseph A. Tainter,262,3/29/1990,eng,4.15
743203046,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,544,8/7/2001,eng,3.8
034543871X,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,272,1/29/2002,eng,3.91
393318281,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,576,9/17/1998,eng,4.39
1599869942,My Inventions,Nikola Tesla,88,5/17/2006,eng,4.01
806519606,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,542,2/1/2001,eng,3.78
822549204,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,144,10/1/1994,eng,3.93
932813860,Tesla Papers,Nikola Tesla/David Hatcher Childress,100,12/1/2000,eng,4.13
373792689,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,249,6/27/2006,eng,3.77
974514055,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,828,10/11/2004,en-US,4.03
764585975,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,112,6/13/2000,eng,3.95
307281701,Lord of the Flies,William Golding,6,10/11/2005,eng,3.68
812969707,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,397,9/12/2006,eng,4.11
60255080,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,216,1/1/1989,eng,4.14
330485385,The Lovely Bones,Alice Sebold,328,6/1/2003,en-GB,3.81
159413023X,The Lovely Bones,Alice Sebold,532,4/1/2004,en-US,3.81
345360354,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,224,5/13/1990,eng,3.8
321303474,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,296,2/17/2005,en-US,3.98
321430840,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,456,8/1/2006,en-US,3.8
3822840858,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,575,5/15/2005,mul,3.85
743264460,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,245,6/13/2006,eng,3.81
743236017,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,272,7/2/2004,eng,3.73
553572490,Vice (V  #8),Jane Feather,419,5/2/1996,eng,3.51
60589469,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,540,4/25/2006,eng,3.77
802789471,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,32,4/1/2005,eng,4.08
688060692,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,408,11/19/1990,en-GB,3.72
185960515X,Motorcycle Basics Techbook,John Harold Haynes,222,7/5/2002,eng,3.85
1592530877,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,191,9/1/2004,eng,3.93
451528808,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,304,4/1/2003,eng,4.11
192833987,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,1392,6/25/1998,eng,4.11
486451380,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,352,9/8/2006,eng,4.13
452011876,Atlas Shrugged,Ayn Rand/Leonard Peikoff,1168,8/1/1999,eng,3.69
451163087,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,224,12/1/1963,eng,3.68
452286751,The Fountainhead,Ayn Rand,752,4/26/2005,en-US,3.87
451163931,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,176,11/1/1964,eng,3.51
452281253,Anthem,Ayn Rand,105,12/1/1999,eng,3.63
451187849,We the Living,Ayn Rand/Leonard Peikoff,464,1/1/1996,eng,3.91
451147952,Capitalism: The Unknown Ideal,Ayn Rand/Nathaniel Branden/Alan Greenspan/Robert Hessen,340,7/15/1986,eng,3.88
452274044,Letters of Ayn Rand,Ayn Rand/Michael S. Berliner/Leonard Peikoff,681,2/1/1997,eng,3.96
471791431,Sailing for Dummies,J.J. Isler/Peter Isler,416,6/1/2006,eng,3.95
553803816,Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,368,7/25/2006,eng,3.88
375755195,Sailing Alone Around the Room: New and Selected Poems,Billy Collins,192,9/17/2002,eng,4.23
1592283195,The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,286,4/1/2004,eng,3.62
975599518,"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,571,1/1/2004,en-US,3.09
374502005,The Natural,Bernard Malamud/Kevin Baker,231,7/7/2003,eng,3.63
307263940,Digging to America,Anne Tyler,277,5/2/2006,eng,3.55
312405545,Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo/Bonnie Lisle,826,1/21/2004,eng,3.77
019517013X,Modern Latin America,Thomas E. Skidmore/Peter H. Smith,528,10/7/2004,en-US,3.59
1400079497,The Plot Against America,Philip Roth,391,9/27/2005,eng,3.77
688171621,Naked Pictures of Famous People,Jon   Stewart,164,9/22/1999,en-GB,3.59
60932686,Collected Stories,Gabriel García Márquez/Gregory Rabassa/J.S. Bernstein,352,5/13/2008,eng,4.19
1400034957,Crónica de una muerte anunciada,Gabriel García Márquez,118,10/14/2003,spa,3.97
307350428,Cien años de soledad,Gabriel García Márquez,496,2/7/2006,spa,4.07
307350444,Del amor y otros demonios,Gabriel García Márquez,176,2/7/2006,spa,3.98
140003454X,Living to Tell the Tale,Gabriel García Márquez/Edith Grossman,533,10/12/2004,eng,3.99
1400095808,Memoria de mis putas tristes,Gabriel García Márquez,112,10/19/2004,spa,3.6
375708111,The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,425,9/2/2004,eng,4.07
086171492X,Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon/Thanissaro Bhikkhu,288,5/15/2005,eng,4.29
184353584X,The Mini Rough Guide to London,Rob Humphreys/Beth Chaplin/Rebecca Morrill,363,4/1/2006,eng,3.75
1740594770,Best of London (Lonely Planet Best Of),Lonely Planet/Sarah Johnstone/Steve Fallon,128,9/1/2004,eng,3.83
8408064762,Lonely Planet Londres,Lonely Planet/Sarah Johnstone/Tom Masters,480,5/1/2006,spa,4.03
1740592050,Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet/Mark Honan,295,9/1/2001,eng,0
618710531,Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,287,4/4/2006,eng,3.88
60512806,Cryptonomicon,Neal Stephenson,1139,11/1/2002,eng,4.25
